[   94651ms] [ERROR] Failed to load resource: net::ERR_INCOMPLETE_CHUNKED_ENCODING @ http://localhost:3201/api/agent-state/stream?token=9dad830a1cbe4b28b621345ebb0c20bc&since=1774549554930:0
[   94652ms] [ERROR] WebSocket connection to 'ws://localhost:3201/' failed: Error during WebSocket handshake: net::ERR_CONNECTION_RESET @ http://localhost:3201/@vite/client:1034
[   95654ms] [ERROR] WebSocket connection to 'ws://localhost:3201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/@vite/client:1034
[   96656ms] [ERROR] WebSocket connection to 'ws://localhost:3201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/@vite/client:1034
[   97654ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/api/agent-state/stream?token=9dad830a1cbe4b28b621345ebb0c20bc&since=1774549554930:0
[   97658ms] [ERROR] WebSocket connection to 'ws://localhost:3201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/@vite/client:1034
[   98219ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/api/pipelines:0
[   98660ms] [ERROR] WebSocket connection to 'ws://localhost:3201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/@vite/client:1034
[   99654ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/api/agent-state:0
[   99663ms] [ERROR] WebSocket connection to 'ws://localhost:3201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/@vite/client:1034
[  100222ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/api/health:0
[  100656ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/api/agent-state/stream?token=9dad830a1cbe4b28b621345ebb0c20bc&since=1774549554930:0
[  100665ms] [ERROR] WebSocket connection to 'ws://localhost:3201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/@vite/client:1034
[  101667ms] [ERROR] WebSocket connection to 'ws://localhost:3201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/@vite/client:1034
[  102224ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/api/health:0
[  102670ms] [ERROR] WebSocket connection to 'ws://localhost:3201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/@vite/client:1034
[  103210ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/api/sessions:0
[  103210ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/api/projects/status:0
[  103220ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/api/pipelines:0
[  103659ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/api/agent-state/stream?token=9dad830a1cbe4b28b621345ebb0c20bc&since=1774549554930:0
[  103673ms] [ERROR] WebSocket connection to 'ws://localhost:3201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/@vite/client:1034
[  104227ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/api/health:0
[  104655ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/api/agent-state:0
[  104677ms] [ERROR] WebSocket connection to 'ws://localhost:3201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/@vite/client:1034
[  105681ms] [ERROR] WebSocket connection to 'ws://localhost:3201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/@vite/client:1034
[  106230ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/api/health:0
[  106661ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/api/agent-state/stream?token=9dad830a1cbe4b28b621345ebb0c20bc&since=1774549554930:0
[  106691ms] [ERROR] WebSocket connection to 'ws://localhost:3201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/@vite/client:1034
[  107700ms] [ERROR] WebSocket connection to 'ws://localhost:3201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/@vite/client:1034
[  108220ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/api/pipelines:0
[  108232ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:3201/api/health:0
